순위,시도코드,시군구코드,관심지점아이디,관심지점명,주소도로명,티맵카테고리중분류코드,티맵카테고리중분류명,연령대,세대검색건수,세대검색건수(합),비율
1,41,41461,387701,에버랜드,경기 용인시 처인구 에버랜드로 199-0,4,레저/스포츠,40,273743,1018490,26.9
2,11,11680,187757,코엑스,서울 강남구 영동대로 513-0,7,문화생활시설,40,148294,1018490,14.6
3,11,11710,187961,롯데월드잠실점,서울 송파구 올림픽로 240-0,4,레저/스포츠,40,105474,1018490,10.4
4,41,41287,729930,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,7,문화생활시설,40,84017,1018490,8.2
5,11,11215,182018,어린이대공원,서울 광진구 능동로 216-0,4,레저/스포츠,40,74273,1018490,7.3
6,11,11170,218130,국립중앙박물관,서울 용산구 서빙고로 137-0,7,문화생활시설,40,70192,1018490,6.9
7,41,41290,381867,서울대공원,경기 과천시 대공원광장로 102-0,4,레저/스포츠,40,69321,1018490,6.8
8,51,51210,368880,속초해변,강원 속초시 해오름로 186-0,2,관광명소,40,65752,1018490,6.5
9,41,41290,192300,서울랜드,경기 과천시 광명로 181-0,4,레저/스포츠,40,65049,1018490,6.4
10,11,11650,215642,예술의전당,서울 서초구 남부순환로 2406-0,7,문화생활시설,40,62375,1018490,6.1
