순위,시도코드,시군구코드,관심지점아이디,관심지점명,주소도로명,티맵카테고리중분류코드,티맵카테고리중분류명,연령대,세대검색건수,세대검색건수(합),비율
1,41,41461,387701,에버랜드,경기 용인시 처인구 에버랜드로 199-0,4,레저/스포츠,30,192567,863059,22.3
2,11,11680,187757,코엑스,서울 강남구 영동대로 513-0,7,문화생활시설,30,144430,863059,16.7
3,11,11560,189326,여의도한강공원,서울 영등포구 여의동로 330-0,2,관광명소,30,85228,863059,9.9
4,41,41287,729930,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,7,문화생활시설,30,75817,863059,8.8
5,41,41290,381867,서울대공원,경기 과천시 대공원광장로 102-0,4,레저/스포츠,30,69664,863059,8.1
6,11,11710,187961,롯데월드잠실점,서울 송파구 올림픽로 240-0,4,레저/스포츠,30,64139,863059,7.4
7,28,28110,152299,월미도,인천 중구,2,관광명소,30,59855,863059,6.9
8,41,41287,2754697,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,7,문화생활시설,30,57962,863059,6.7
9,11,11215,182018,어린이대공원,서울 광진구 능동로 216-0,4,레저/스포츠,30,57161,863059,6.6
10,11,11170,1126401,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,7,문화생활시설,30,56236,863059,6.5
