순위,시도코드,시군구코드,관심지점아이디,관심지점명,주소도로명,티맵카테고리중분류코드,티맵카테고리중분류명,연령대,세대검색건수,세대검색건수(합),비율
1,11,11680,187757,코엑스,서울 강남구 영동대로 513-0,7,문화생활시설,60,30777,203654,15.1
2,41,41287,729930,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,7,문화생활시설,60,24489,203654,12.0
3,28,28200,152296,인천대공원,인천 남동구 무네미로 236-0,2,관광명소,60,20973,203654,10.3
4,41,41285,361844,일산호수공원,경기 고양시 일산동구 호수로 595-0,2,관광명소,60,19108,203654,9.4
5,11,11650,215642,예술의전당,서울 서초구 남부순환로 2406-0,7,문화생활시설,60,18865,203654,9.3
6,41,41570,246479,대명포구,경기 김포시,2,관광명소,60,18745,203654,9.2
7,41,41590,2754648,궁평항,경기 화성시 궁평항로 1049-24,1,교통시설,60,18416,203654,9.0
8,48,48330,316710,통도사,경남 양산시 통도사로 108-0,6,종교,60,17772,203654,8.7
9,28,28200,152313,소래포구,인천 남동구 포구로 2-9,2,관광명소,60,17298,203654,8.5
10,28,28110,401535,을왕리해수욕장,인천 중구 용유서로302번길 16-15,2,관광명소,60,17211,203654,8.5
