순위,시도코드,시군구코드,관심지점아이디,관심지점명,주소도로명,티맵카테고리중분류코드,티맵카테고리중분류명,연령대,세대검색건수,세대검색건수(합),비율
1,11,11560,189326,여의도한강공원,서울 영등포구 여의동로 330-0,2,관광명소,20,66673,351352,19.0
2,41,41461,387701,에버랜드,경기 용인시 처인구 에버랜드로 199-0,4,레저/스포츠,20,46118,351352,13.1
3,28,28110,401535,을왕리해수욕장,인천 중구 용유서로302번길 16-15,2,관광명소,20,39995,351352,11.4
4,28,28110,152299,월미도,인천 중구,2,관광명소,20,33981,351352,9.7
5,11,11650,394217,반포한강공원,서울 서초구 신반포로11길 40-0,2,관광명소,20,30186,351352,8.6
6,11,11680,187757,코엑스,서울 강남구 영동대로 513-0,7,문화생활시설,20,28847,351352,8.2
7,26,26500,152111,광안리해수욕장,부산 수영구 광안해변로 219-0,2,관광명소,20,28159,351352,8.0
8,41,41390,1697409,오이도빨강등대,경기 시흥시 오이도로 170-0,2,관광명소,20,27234,351352,7.8
9,11,11215,182594,뚝섬한강공원,서울 광진구 강변북로 2273-0,2,관광명소,20,26648,351352,7.6
10,41,41117,2912628,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,2,관광명소,20,23511,351352,6.7
