순위,시도코드,시군구코드,관심지점아이디,관심지점명,주소도로명,티맵카테고리중분류코드,티맵카테고리중분류명,연령대,세대검색건수,세대검색건수(합),비율
1,11,11680,187757,코엑스,서울 강남구 영동대로 513-0,7,문화생활시설,50,76627,419993,18.2
2,41,41461,387701,에버랜드,경기 용인시 처인구 에버랜드로 199-0,4,레저/스포츠,50,59672,419993,14.2
3,41,41287,729930,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,7,문화생활시설,50,52178,419993,12.4
4,11,11650,215642,예술의전당,서울 서초구 남부순환로 2406-0,7,문화생활시설,50,40261,419993,9.6
5,51,51770,726197,강원랜드카지노,강원 정선군 하이원길 265-0,4,레저/스포츠,50,33471,419993,8.0
6,28,28110,401535,을왕리해수욕장,인천 중구 용유서로302번길 16-15,2,관광명소,50,33142,419993,7.9
7,51,51210,368880,속초해변,강원 속초시 해오름로 186-0,2,관광명소,50,33118,419993,7.9
8,41,41287,2754697,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,7,문화생활시설,50,31119,419993,7.4
9,41,41461,310836,레이크사이드CC,경기 용인시 처인구 능원로 181-0,4,레저/스포츠,50,30640,419993,7.3
10,44,44180,352601,대천해수욕장,충남 보령시,2,관광명소,50,29765,419993,7.1
